"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue May 14 14:32:55 IST 2024","Tue May 14 14:33:10 IST 2024","14279","Suite","ie","net.testcases_superadmin.CustomAdapterPDFValidation","net.testcases_superadmin.CustomAdapterPDFValidation","customAdapterPDFValidation","customAdapterPDFValidation","Test Description: Custom Adapter PDF export validation"
"passed","Wed May 15 17:11:22 IST 2024","Wed May 15 17:12:07 IST 2024","45401","Suite","chrome","net.testcases_worktimemodule.validate_user_roles_administrationmenu.UserRolesModifyManagerAllowUserToExportDataXLS","net.testcases_worktimemodule.validate_user_roles_administrationmenu.UserRolesModifyManagerAllowUserToExportDataXLS","userRolesModifyManagerAllowUserToExportDataXLS","userRolesModifyManagerAllowUserToExportDataXLS","Test Description: Here we are verifying the permission to allow User to export data pdf "
"passed","Tue May 14 17:54:06 IST 2024","Tue May 14 17:54:16 IST 2024","9971","softwaredefinitationCURDopertions","net.testcases_assetoptimizationmodule.softwaredefinitationCURDopertions","net.testcases_assetoptimizationmodule.softwaredefinitationCURDopertions.SoftwareDefinitionPdfExport","net.testcases_assetoptimizationmodule.softwaredefinitationCURDopertions.SoftwareDefinitionPdfExport","softwareDefinitation","SoftwareD efinition Pdf Export","Software Definition Pdf Export"
"passed","Wed May 15 18:58:29 IST 2024","Wed May 15 18:59:27 IST 2024","57157","Suite","chrome","net.testcases_worktimemodule.validate_user_roles_administrationmenu.UserRolesModifyManagerDefineNewActivity","net.testcases_worktimemodule.validate_user_roles_administrationmenu.UserRolesModifyManagerDefineNewActivity","userRolesModifyManagerDefineNewActivity","userRolesModifyManagerDefineNewActivity","Test Description: Here we are verifying whether we are able to define new activity "
"passed","Tue May 14 14:31:24 IST 2024","Tue May 14 14:31:47 IST 2024","22811","Suite","ie","net.testcases_superadmin.CustomAdapterExcelValidation","net.testcases_superadmin.CustomAdapterExcelValidation","customAdapterExcelValidation","customAdapterExcelValidation","Test Description: Custom Adapter excel export validation"
"passed","Wed May 15 12:14:28 IST 2024","Wed May 15 12:14:48 IST 2024","19749","Suite","chrome","net.testcases_worktimemodule.validate_user_roles_administrationmenu.UserRolesModifyMemberHierarchyLevel","net.testcases_worktimemodule.validate_user_roles_administrationmenu.UserRolesModifyMemberHierarchyLevel","userRolesModifyMemberHierarchyLevel","userRolesModifyMemberHierarchyLevel","Test Description: Here we are verifying whether we are able to hierarchy level"
"passed","Tue May 14 13:08:23 IST 2024","Tue May 14 13:10:40 IST 2024","136959","supergroup_addmodifydelete_with_bulkupload_and_validate_offlinereports_in_mysql","Test","net.testcases_worktimemodule.supergroup_addmodifydelete_with_bulkupload_and_validate_offlinereports_in_mysql.DeleteSuperGroupInMysql","net.testcases_worktimemodule.supergroup_addmodifydelete_with_bulkupload_and_validate_offlinereports_in_mysql.DeleteSuperGroupInMysql","deleteSuperGroupInMysql","Delete the SuperGroup and validate whether it has been successfully Deleted.","Delete the SuperGroup and validate whether it has been successfully Deleted."
"passed","Wed May 15 10:40:31 IST 2024","Wed May 15 10:40:41 IST 2024","9463","net.testcases_worktimemodule.BusinessHierarchy","net.testcases_worktimemodule.BusinessHierarchy","net.testcases_worktimemodule.BusinessHierarchy.HierarchyMappingBulkUploadCURD","net.testcases_worktimemodule.BusinessHierarchy.HierarchyMappingBulkUploadCURD","hierarchyMappingBulkUploadCURD","HierarchyMapping BulkUpload CURD","Hierarchy Mapping BulkUpload CURD"
"passed","Wed May 15 19:07:29 IST 2024","Wed May 15 19:07:52 IST 2024","23739","Suite","chrome","net.testcases_worktimemodule.validate_user_roles_administrationmenu.UserRolesModifyManagerRestrictusers","net.testcases_worktimemodule.validate_user_roles_administrationmenu.UserRolesModifyManagerRestrictusers","userRolesModifyManagerRestrictusers","userRolesModifyManagerRestrictusers","Test Description: Here we are verifying whether we are able to modify and manager"
"passed","Tue May 14 14:37:40 IST 2024","Tue May 14 14:37:49 IST 2024","8591","Suite","ie","net.testcases_superadmin.GlobalSettingEmailserMissingFromAddressField","net.testcases_superadmin.GlobalSettingEmailserMissingFromAddressField","globalSettingEmailserMissingFromAddressField","globalSettingEmailserMissingFromAddressField","Test Description: Global Settings Application URL clear validation"
"passed","Tue May 14 17:54:16 IST 2024","Tue May 14 17:54:29 IST 2024","12715","softwaredefinitationCURDopertions","net.testcases_assetoptimizationmodule.softwaredefinitationCURDopertions","net.testcases_assetoptimizationmodule.softwaredefinitationCURDopertions.SoftwareDefinitationExcelExport","net.testcases_assetoptimizationmodule.softwaredefinitationCURDopertions.SoftwareDefinitationExcelExport","softwareDefinitation","SoftwareD efinitation ExcelExport","SoftwareDefinitation ExcelExport"
